,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
2494,The Walk Of Fun Hollywood,Tourist attraction,5.0,296.0,Tourist attraction,"The Walk Of Fun Hollywood, In front of CapitalOne cafe, 6801 Hollywood Blvd, Los Angeles, CA 90028",Los-angeles,USA,CA,,Entertainment,1480.0,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2495,The Fowler Museum,Art museum,4.6,268.0,"Art museum, Tourist attraction","The Fowler Museum, 308 Charles E Young Dr N, Los Angeles, CA 90024",Los-angeles,USA,CA,,Cultural,1232.8,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2496,Holocaust Museum LA,Museum,4.6,228.0,"Museum, Archive, History museum, Library, Tourist attraction","Holocaust Museum LA, 100 The Grove Dr, Los Angeles, CA 90036",Los-angeles,USA,LA,,Cultural,1048.8,4.59,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport"
2497,Wrigley Mansion,Historical landmark,4.8,195.0,"Historical landmark, Cultural landmark, History museum, Tourist attraction","Wrigley Mansion, 391 S Orange Grove Blvd, Pasadena, CA 91184",Los-angeles,USA,CA,,Cultural,936.0,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2498,Ride like a star,Tourist attraction,4.9,139.0,"Tourist attraction, Bus tour agency, Driving test center, Sightseeing tour agency, Souvenir store, Tourist information center","Ride like a star, 6808 Hollywood Blvd, Los Angeles, CA 90028",Los-angeles,USA,CA,,Entertainment,681.1,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2499,Crossroads of the World,Historical landmark,4.1,96.0,"Historical landmark, Tourist attraction","Crossroads of the World, 6671 Sunset Blvd, Los Angeles, CA 90028",Los-angeles,USA,CA,,Cultural,393.59999999999997,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2500,Hollywood Heritage Museum,Museum,4.5,91.0,"Museum, Tourist attraction","Hollywood Heritage Museum, 2100 Highland Ave, Los Angeles, CA 90068",Los-angeles,USA,CA,,Cultural,409.5,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2501,Hollywood Bowl Museum,Museum,4.6,57.0,"Museum, Tourist attraction","Hollywood Bowl Museum, 2301 Highland Ave, Los Angeles, CA 90068",Los-angeles,USA,CA,,Cultural,262.2,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2502,Venice Boardwalk,Scenic spot,4.6,1095.0,"Scenic spot, Tourist attraction","Venice Boardwalk, Beach pavillion in, Los Angeles, CA",Los-angeles,USA,CA,,Nature,5037.0,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2503,The Golden Triangle,Tourist attraction,4.7,221.0,Tourist attraction,"The Golden Triangle, 9800 Wilshire Blvd, Beverly Hills, CA 90212",Los-angeles,USA,CA,,Entertainment,1038.7,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2504,Kyoto Garden,Park,4.4,118.0,"Park, Tourist attraction","Kyoto Garden, DoubleTree by Hilton Hotel Los Angeles Downtown, Los Angeles, CA 90012",Los-angeles,USA,CA,,Nature,519.2,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2505,Kenneth Hahn View Point,Tourist attraction,4.9,83.0,"Tourist attraction, Park","Kenneth Hahn View Point, Los Angeles, CA 90008",Los-angeles,USA,CA,,Entertainment,406.70000000000005,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2506,Luo Shan Ji Xing Guang Da Dao ,Tourist attraction,4.1,64.0,Tourist attraction,"California, Hollywood, Hollywood Blvd, LA Highland AvenueLuo Shan Ji Xing Guang Da Dao You Zheng Bian Ma : 90028",Los-angeles,USA,LA,,Entertainment,262.4,4.46,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport"
2507,Neverland,Tourist attraction,4.5,61.0,Tourist attraction,"Neverland, Los Angeles Neverland, Los Angeles, CA 90012",Los-angeles,USA,CA,,Entertainment,274.5,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2508,Little Rock Zoo,Zoo,4.2,4938.0,"Zoo, Tourist attraction","Little Rock Zoo, 1 Zoo Dr, Little Rock, AR 72205",Little-rock,USA,AR,,Entertainment,20739.600000000002,4.2,"Little-rock, Orlando"
2509,The Old Mill,Historical landmark,4.8,3327.0,"Historical landmark, Historical place, Tourist attraction","The Old Mill, 3800 Lakeshore Dr, North Little Rock, AR 72116",Little-rock,USA,AR,,Cultural,15969.599999999999,4.75,"Little-rock, Orlando"
2510,MacArthur Park,Park,4.4,932.0,Park,"MacArthur Park, 1000 McMath Ave, Little Rock, AR 72202",Little-rock,USA,AR,,Nature,4100.8,4.6,"Little-rock, Orlando"
2511,Little Rock Central High School National Historic Site,Historical landmark,4.8,813.0,"Historical landmark, Tourist attraction, Visitor center","Little Rock Central High School National Historic Site, 2120 W Daisy L Gatson Bates Dr, Little Rock, AR 72202",Little-rock,USA,AR,,Cultural,3902.3999999999996,4.75,"Little-rock, Orlando"
2512,Old State House Museum,Museum,4.6,666.0,"Museum, History museum, Tourist attraction","Old State House Museum, 300 W Markham St, Little Rock, AR 72201",Little-rock,USA,AR,,Cultural,3063.6,4.75,"Little-rock, Orlando"
2513,Allsopp Park,Park,4.5,584.0,"Park, Tourist attraction","Allsopp Park, 3700 Cedar Hill Rd, Little Rock, AR 72202",Little-rock,USA,AR,,Nature,2628.0,4.6,"Little-rock, Orlando"
2514,Emerald Park,Park,4.8,567.0,"Park, Tourist attraction","Emerald Park, 3098 W Scenic Dr, North Little Rock, AR 72118",Little-rock,USA,AR,,Nature,2721.6,4.6,"Little-rock, Orlando"
